Rank,Year,Date,Week,Team,H/A,Opp,Result,Status,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,Snaps
1.0,2020.0,2020-09-13,1.0,CIN,Home,LAC,L 13-16,Start,36.0,63.89,193.0,0.0,1.0,3.0,8.0,46.0,1.0,68.0
2.0,2020.0,2020-09-17,2.0,CIN,Away,CLE,L 30-35,Start,61.0,60.66,316.0,3.0,0.0,3.0,7.0,19.0,0.0,92.0
3.0,2020.0,2020-09-27,3.0,CIN,Away,PHI,T 23-23,Start,44.0,70.45,312.0,2.0,0.0,8.0,1.0,-1.0,0.0,71.0
4.0,2020.0,2020-10-04,4.0,CIN,Home,JAX,W 33-25,Start,36.0,69.44,300.0,1.0,1.0,1.0,4.0,11.0,0.0,75.0
5.0,2020.0,2020-10-11,5.0,CIN,Away,BAL,L 3-27,Start,30.0,63.33,183.0,0.0,1.0,7.0,3.0,10.0,0.0,67.0
6.0,2020.0,2020-10-18,6.0,CIN,Away,IND,L 27-31,Start,39.0,64.1,313.0,0.0,1.0,2.0,3.0,2.0,1.0,73.0
7.0,2020.0,2020-10-25,7.0,CIN,Home,CLE,L 34-37,Start,47.0,74.47,406.0,3.0,1.0,4.0,6.0,34.0,1.0,75.0
8.0,2020.0,2020-11-01,8.0,CIN,Home,TEN,W 31-20,Start,37.0,70.27,249.0,2.0,0.0,0.0,3.0,9.0,0.0,73.0
9.0,2020.0,2020-11-15,10.0,CIN,Away,PIT,L 10-36,Start,40.0,52.5,213.0,1.0,0.0,4.0,0.0,0.0,0.0,65.0
10.0,2020.0,2020-11-22,11.0,CIN,Away,WAS,L 9-20,Start,34.0,64.71,203.0,1.0,0.0,0.0,2.0,12.0,0.0,50.0
11.0,2020.0,2020-11-29,12.0,CIN,Home,NYG,L 17-19,Injured Reserve,36.44230769230769,68.20884615384615,270.8269230769231,1.8653846153846154,0.7115384615384616,2.8461538461538463,3.519230769230769,11.634615384615385,0.19230769230769232,65.5576923076923
12.0,2020.0,2020-12-06,13.0,CIN,Away,MIA,L 7-19,Injured Reserve,36.44230769230769,68.20884615384615,270.8269230769231,1.8653846153846154,0.7115384615384616,2.8461538461538463,3.519230769230769,11.634615384615385,0.19230769230769232,65.5576923076923
13.0,2020.0,2020-12-13,14.0,CIN,Home,DAL,L 7-30,Injured Reserve,36.44230769230769,68.20884615384615,270.8269230769231,1.8653846153846154,0.7115384615384616,2.8461538461538463,3.519230769230769,11.634615384615385,0.19230769230769232,65.5576923076923
14.0,2020.0,2020-12-21,15.0,CIN,Home,PIT,W 27-17,Injured Reserve,36.44230769230769,68.20884615384615,270.8269230769231,1.8653846153846154,0.7115384615384616,2.8461538461538463,3.519230769230769,11.634615384615385,0.19230769230769232,65.5576923076923
15.0,2020.0,2020-12-27,16.0,CIN,Away,HOU,W 37-31,Injured Reserve,36.44230769230769,68.20884615384615,270.8269230769231,1.8653846153846154,0.7115384615384616,2.8461538461538463,3.519230769230769,11.634615384615385,0.19230769230769232,65.5576923076923
16.0,2020.0,2021-01-03,17.0,CIN,Home,BAL,L 3-38,Injured Reserve,36.44230769230769,68.20884615384615,270.8269230769231,1.8653846153846154,0.7115384615384616,2.8461538461538463,3.519230769230769,11.634615384615385,0.19230769230769232,65.5576923076923
17.0,2021.0,2021-09-12,1.0,CIN,Home,MIN,W 27-24,Start,27.0,74.07,261.0,2.0,0.0,5.0,1.0,2.0,0.0,69.0
18.0,2021.0,2021-09-19,2.0,CIN,Away,CHI,L 17-20,Start,30.0,63.33,207.0,2.0,3.0,5.0,0.0,0.0,0.0,55.0
19.0,2021.0,2021-09-26,3.0,CIN,Away,PIT,W 24-10,Start,18.0,77.78,172.0,3.0,1.0,0.0,5.0,7.0,0.0,47.0
20.0,2021.0,2021-09-30,4.0,CIN,Home,JAX,W 24-21,Start,32.0,78.13,348.0,2.0,0.0,1.0,3.0,4.0,0.0,58.0
21.0,2021.0,2021-10-10,5.0,CIN,Home,GNB,L 22-25,Start,38.0,68.42,281.0,2.0,2.0,3.0,3.0,11.0,0.0,67.0
22.0,2021.0,2021-10-17,6.0,CIN,Away,DET,W 34-11,Start,29.0,65.52,271.0,3.0,1.0,2.0,5.0,20.0,0.0,59.0
23.0,2021.0,2021-10-24,7.0,CIN,Away,BAL,W 41-17,Start,38.0,60.53,416.0,3.0,1.0,1.0,1.0,0.0,0.0,56.0
24.0,2021.0,2021-10-31,8.0,CIN,Away,NYJ,L 31-34,Start,34.0,61.76,259.0,3.0,1.0,3.0,1.0,-1.0,0.0,55.0
25.0,2021.0,2021-11-07,9.0,CIN,Home,CLE,L 16-41,Start,40.0,70.0,282.0,0.0,2.0,5.0,2.0,1.0,0.0,69.0
26.0,2021.0,2021-11-21,11.0,CIN,Away,LVR,W 32-13,Start,29.0,68.97,148.0,1.0,0.0,3.0,3.0,11.0,0.0,74.0
27.0,2021.0,2021-11-28,12.0,CIN,Home,PIT,W 41-10,Start,24.0,83.33,190.0,1.0,1.0,2.0,1.0,8.0,1.0,58.0
28.0,2021.0,2021-12-05,13.0,CIN,Home,LAC,L 22-41,Start,40.0,60.0,300.0,1.0,2.0,6.0,1.0,6.0,1.0,76.0
29.0,2021.0,2021-12-12,14.0,CIN,Home,SFO,L 23-26,Start,34.0,73.53,348.0,2.0,0.0,5.0,2.0,3.0,0.0,67.0
30.0,2021.0,2021-12-19,15.0,CIN,Away,DEN,W 15-10,Start,22.0,68.18,157.0,1.0,0.0,3.0,5.0,25.0,0.0,53.0
31.0,2021.0,2021-12-26,16.0,CIN,Home,BAL,W 41-21,Start,46.0,80.43,525.0,4.0,0.0,3.0,2.0,11.0,0.0,76.0
32.0,2021.0,2022-01-02,17.0,CIN,Home,KAN,W 34-31,Start,39.0,76.92,446.0,4.0,0.0,4.0,5.0,10.0,0.0,68.0
33.0,2021.0,2022-01-09,18.0,CIN,Away,CLE,L 16-21,Inactive,36.44230769230769,68.20884615384615,270.8269230769231,1.8653846153846154,0.7115384615384616,2.8461538461538463,3.519230769230769,11.634615384615385,0.19230769230769232,65.5576923076923
34.0,2022.0,2022-09-11,1.0,CIN,Home,PIT,L 20-23,Start,53.0,62.26,338.0,2.0,4.0,7.0,6.0,47.0,0.0,100.0
35.0,2022.0,2022-09-18,2.0,CIN,Away,DAL,L 17-20,Start,36.0,66.67,199.0,1.0,0.0,6.0,4.0,26.0,0.0,70.0
36.0,2022.0,2022-09-25,3.0,CIN,Away,NYJ,W 27-12,Start,36.0,63.89,275.0,3.0,0.0,2.0,5.0,0.0,0.0,68.0
37.0,2022.0,2022-09-29,4.0,CIN,Home,MIA,W 27-15,Start,31.0,64.52,287.0,2.0,0.0,1.0,5.0,6.0,0.0,64.0
38.0,2022.0,2022-10-09,5.0,CIN,Away,BAL,L 17-19,Start,35.0,68.57,217.0,1.0,1.0,2.0,3.0,6.0,1.0,63.0
39.0,2022.0,2022-10-16,6.0,CIN,Away,NOR,W 30-26,Start,37.0,75.68,300.0,3.0,0.0,3.0,4.0,25.0,1.0,57.0
40.0,2022.0,2022-10-23,7.0,CIN,Home,ATL,W 35-17,Start,42.0,80.95,481.0,3.0,0.0,3.0,3.0,20.0,1.0,68.0
41.0,2022.0,2022-10-31,8.0,CIN,Away,CLE,L 13-32,Start,35.0,71.43,232.0,2.0,1.0,5.0,1.0,2.0,0.0,53.0
42.0,2022.0,2022-11-06,9.0,CIN,Home,CAR,W 42-21,Start,28.0,78.57,206.0,1.0,0.0,1.0,4.0,9.0,1.0,58.0
43.0,2022.0,2022-11-20,11.0,CIN,Away,PIT,W 37-30,Start,39.0,61.54,355.0,4.0,2.0,2.0,4.0,5.0,0.0,66.0
44.0,2022.0,2022-11-27,12.0,CIN,Away,TEN,W 20-16,Start,37.0,59.46,270.0,1.0,0.0,1.0,9.0,32.0,0.0,70.0
45.0,2022.0,2022-12-04,13.0,CIN,Home,KAN,W 27-24,Start,31.0,80.65,286.0,2.0,0.0,1.0,11.0,46.0,1.0,72.0
46.0,2022.0,2022-12-11,14.0,CIN,Home,CLE,W 23-10,Start,33.0,54.55,239.0,2.0,1.0,1.0,6.0,10.0,0.0,67.0
47.0,2022.0,2022-12-18,15.0,CIN,Away,TAM,W 34-23,Start,39.0,69.23,200.0,4.0,1.0,2.0,3.0,8.0,0.0,66.0
48.0,2022.0,2022-12-24,16.0,CIN,Away,NWE,W 22-18,Start,52.0,76.92,375.0,3.0,2.0,2.0,4.0,5.0,0.0,83.0
49.0,2022.0,2023-01-08,18.0,CIN,Home,BAL,W 27-16,Start,42.0,59.52,215.0,1.0,0.0,2.0,3.0,10.0,0.0,66.0
50.0,2023.0,2023-09-10,1.0,CIN,Away,CLE,L 3-24,Start,31.0,45.16,82.0,0.0,0.0,2.0,1.0,-1.0,0.0,52.0
51.0,2023.0,2023-09-17,2.0,CIN,Home,BAL,L 24-27,Start,41.0,65.85,222.0,2.0,1.0,1.0,1.0,5.0,0.0,60.0
52.0,2023.0,2023-09-25,3.0,CIN,Home,LAR,W 19-16,Start,49.0,53.06,259.0,0.0,1.0,2.0,3.0,-2.0,0.0,77.0
53.0,2023.0,2023-10-01,4.0,CIN,Away,TEN,L 3-27,Start,30.0,66.67,165.0,0.0,0.0,3.0,3.0,1.0,0.0,53.0
54.0,2023.0,2023-10-08,5.0,CIN,Away,ARI,W 34-20,Start,46.0,78.26,317.0,3.0,1.0,3.0,4.0,7.0,0.0,82.0
55.0,2023.0,2023-10-15,6.0,CIN,Home,SEA,W 17-13,Start,35.0,68.57,185.0,2.0,1.0,3.0,2.0,4.0,0.0,54.0
56.0,2023.0,2023-10-29,8.0,CIN,Away,SFO,W 31-17,Start,32.0,87.5,283.0,3.0,0.0,3.0,6.0,43.0,0.0,63.0
57.0,2023.0,2023-11-05,9.0,CIN,Home,BUF,W 24-18,Start,44.0,70.45,348.0,2.0,0.0,1.0,5.0,4.0,0.0,70.0
58.0,2023.0,2023-11-12,10.0,CIN,Home,HOU,L 27-30,Start,40.0,67.5,347.0,2.0,2.0,4.0,5.0,20.0,0.0,64.0
59.0,2023.0,2023-11-16,11.0,CIN,Away,BAL,L 20-34,Start,17.0,64.71,101.0,1.0,0.0,2.0,1.0,7.0,0.0,27.0
60.0,2023.0,2023-11-26,12.0,CIN,Home,PIT,L 10-16,Did Not Play,36.44230769230769,68.20884615384615,270.8269230769231,1.8653846153846154,0.7115384615384616,2.8461538461538463,3.519230769230769,11.634615384615385,0.19230769230769232,65.5576923076923
61.0,2023.0,2023-12-04,13.0,CIN,Away,JAX,W 34-31,Did Not Play,36.44230769230769,68.20884615384615,270.8269230769231,1.8653846153846154,0.7115384615384616,2.8461538461538463,3.519230769230769,11.634615384615385,0.19230769230769232,65.5576923076923
